ticket_id,ticket_text,issue_type,urgency_level,product
1,payment issue SmartWatch V2 underbilled 29224,Billing Problem,Medium,SmartWatch V2
2,tell UltraClean Vacuum warranty also available white,General Inquiry,Low,UltraClean Vacuum
3,ordered SoundWave 300 got EcoBreeze AC instead 36824,Wrong Item,Medium,SoundWave 300
4,facing installation issue PhotoSnap Cam setup fails step 1,Installation Issue,Low,PhotoSnap Cam
5,30903 led Vision LED TV 13 day late ordered 03 march also contacted 03 march got response,Late Delivery,Medium,Vision LED TV
6,tell PhotoSnap Cam warranty also available red,General Inquiry,Medium,PhotoSnap Cam
7,malfunction stopped working 7 day,Product Defect,Low,EcoBreeze AC
8,facing installation issue RoboChef Blender setup fails step 3 also contacted 17 march got response,Installation Issue,High,RoboChef Blender
9,FitRun Treadmill UltraClean Vacuum error giving issue,Product Defect,High,FitRun Treadmill
10,nan,Product Defect,High,PhotoSnap Cam
11,nan,,Medium,Vision LED TV
12,34285 placed 18 march still,Late Delivery,Medium,RoboChef Blender
13,led Vision LED TV response stopped working 9 day,Product Defect,Low,Vision LED TV
14,PowerMax Battery EcoBreeze AC lost giving issue also contacted 12 march got response,Product Defect,High,PowerMax Battery
15,53356 RoboChef Blender 18 day late ordered 13 april,Late Delivery,High,RoboChef Blender
16,49712 RoboChef Blender 4 day late ordered 25 april,Late Delivery,Medium,RoboChef Blender
17,received wrong product mixed also contacted 03 march got response,Wrong Item,Medium,Vision LED TV
18,received wrong product mixed,Wrong Item,High,PhotoSnap Cam
19,cant log account keep showing unknown issue help,Account Access,High,PhotoSnap Cam
20,login working,Account Access,High,ProTab X1
21,PhotoSnap Cam faulty stopped working 1 day,Product Defect,Medium,PhotoSnap Cam
22,payment issue RoboChef Blender refunded 47429 also contacted 02 march got response,Billing Problem,Medium,RoboChef Blender
23,FitRun Treadmill damaged stopped working 9 day,Product Defect,Low,FitRun Treadmill
24,cant log account keep showing blocked help,Account Access,Low,EcoBreeze AC
25,tell FitRun Treadmill warranty also available black,General Inquiry,Low,FitRun Treadmill
26,facing installation issue RoboChef Blender setup fails step 6,Installation Issue,Medium,RoboChef Blender
27,facing installation issue wit led Vision LED TV setup fails step 6,Installation Issue,Low,Vision LED TV
28,tell RoboChef Blender warranty also available blue,General Inquiry,Medium,RoboChef Blender
29,FitRun Treadmill malfunction stopped working 2 day,Product Defect,Low,FitRun Treadmill
30,28983 SmartWatch V2 17 day late ordered 05 may also contacted 05 may got response,Late Delivery,High,SmartWatch V2
31,payment issue fr mi EcoBreeze AC charged twice fr 64374,Billing Problem,Low,EcoBreeze AC
32,FitRun Treadmill lost stopped working 3 day also contacted 08 may got response,Product Defect,Low,FitRun Treadmill
33,79265 EcoBreeze AC 15 day late ordered 17 march,Late Delivery,Low,EcoBreeze AC
34,payment problem fr 88128 need urgent help,Billing Problem,Low,RoboChef Blender
35,58187 EcoBreeze AC 11 day late ordered 30 march,Late Delivery,Low,EcoBreeze AC
36,RoboChef Blender malfunction stopped working 9 day,Product Defect,High,RoboChef Blender
37,cant log account keep showing blocked help delivery expected 04 march,Account Access,High,FitRun Treadmill
38,nan,Billing Problem,High,PhotoSnap Cam
39,payment issue ProTab X1 charged twice 14510,Billing Problem,Medium,ProTab X1
40,facing installation issue FitRun Treadmill setup fails step 4,Installation Issue,High,FitRun Treadmill
41,payment issue FitRun Treadmill refunded 91776,Billing Problem,Low,FitRun Treadmill
42,cant log account keep showing captcha failed help,Account Access,Medium,PhotoSnap Cam
43,nan,Billing Problem,Medium,ProTab X1
44,cant log account keep showing unknown issue help,Account Access,High,SoundWave 300
45,facing installation issue RoboChef Blender setup fails step 2,Installation Issue,Low,RoboChef Blender
46,tell warranty also available black,General Inquiry,High,UltraClean Vacuum
47,facing installation issue PowerMax Battery setup fails step 2,Installation Issue,Medium,PowerMax Battery
48,tell ProTab X1 warranty also available red,General Inquiry,Low,ProTab X1
49,facing installation issue wit EcoBreeze AC setup fails step 2,Installation Issue,Medium,EcoBreeze AC
50,led Vision LED TV lost stopped working 3 day also contacted 18 may got response,Product Defect,High,Vision LED TV
51,tell ProTab X1 warranty also available white also contacted 04 april got response delivery expected 04 april,General Inquiry,High,ProTab X1
52,tell FitRun Treadmill warranty also available white also contacted 13 april got response,General Inquiry,High,FitRun Treadmill
53,facing installation issue EcoBreeze AC setup fails step 6 delivery expected 26 april,Installation Issue,High,EcoBreeze AC
54,payment issue fr mi charged twice fr 45453,Billing Problem,High,UltraClean Vacuum
55,cant log account keep showing blocked help,Account Access,Medium,SoundWave 300
56,facing installation issue led Vision LED TV setup fails step 2,Installation Issue,Low,Vision LED TV
57,payment issue led Vision LED TV refunded 77581,Billing Problem,Medium,Vision LED TV
58,tell warranty also available white delivery expected 19 march,General Inquiry,High,Vision LED TV
59,ordered SmartWatch V2 got PowerMax Battery instead 65084 delivery expected 12 april,Wrong Item,Low,SmartWatch V2
60,payment issue ProTab X1 debited incorrectly 19053,Billing Problem,Medium,ProTab X1
61,payment issue FitRun Treadmill overbilled 84201 also contacted 16 may got response,Billing Problem,High,FitRun Treadmill
62,payment problem 67337 need urgent help delivery expected 19 march,Billing Problem,Low,PhotoSnap Cam
63,ordered PowerMax Battery got ProTab X1 instead 97429 also contacted 07 april got response,Wrong Item,High,PowerMax Battery
64,PhotoSnap Cam faulty stopped working 7 day,Product Defect,Medium,PhotoSnap Cam
65,tell led Vision LED TV warranty also available blue,General Inquiry,Low,Vision LED TV
66,95306 PhotoSnap Cam 17 day late ordered 09 march,Late Delivery,Low,PhotoSnap Cam
67,96823 SmartWatch V2 14 day late ordered 16 march,Late Delivery,Medium,SmartWatch V2
68,cant log account keep showing captcha failed help,Account Access,High,Vision LED TV
69,facing installation issue SoundWave 300 setup fails step 6 also contacted 06 april got response,Installation Issue,Medium,SoundWave 300
70,payment issue SmartWatch V2 refunded 40696,Billing Problem,Low,SmartWatch V2
71,tell PhotoSnap Cam warranty also available red also contacted 11 march got response,General Inquiry,Medium,PhotoSnap Cam
72,53287 PowerMax Battery 8 day late ordered 08 april,Late Delivery,Medium,PowerMax Battery
73,facing installation issue setup fails step 2,Installation Issue,Medium,UltraClean Vacuum
74,facing installation issue setup fails step 2,Installation Issue,High,ProTab X1
75,error stopped working 5 day,Product Defect,Low,EcoBreeze AC
76,facing installation issue setup fails step 3,Installation Issue,Low,EcoBreeze AC
77,61645 PhotoSnap Cam 18 day late ordered 03 april also contacted 03 april got response,Late Delivery,Medium,PhotoSnap Cam
78,payment issue SoundWave 300 overbilled 57017,Billing Problem,Medium,SoundWave 300
79,payment issue fr mi PhotoSnap Cam underbilled fr 45489,Billing Problem,Medium,PhotoSnap Cam
80,29495 ProTab X1 14 day late ordered 01 may also contacted 01 may got response,Late Delivery,High,ProTab X1
81,ordered PhotoSnap Cam got FitRun Treadmill instead 64401,Wrong Item,Medium,PhotoSnap Cam
82,tell SoundWave 300 warranty also available black,General Inquiry,High,SoundWave 300
83,facing installation issue setup fails step 1,Installation Issue,High,FitRun Treadmill
84,nan,General Inquiry,Low,RoboChef Blender
85,tell warranty also available blue,General Inquiry,Medium,SmartWatch V2
86,ordered SmartWatch V2 got SoundWave 300 instead 24006,Wrong Item,Medium,SmartWatch V2
87,PowerMax Battery glitchy stopped working 7 day,Product Defect,Low,PowerMax Battery
88,ordered got SmartWatch V2 instead 67796,Wrong Item,High,PowerMax Battery
89,tell ProTab X1 warranty also available white also contacted 08 march got response,General Inquiry,High,ProTab X1
90,tell PowerMax Battery warranty also available black delivery expected 09 april,General Inquiry,High,PowerMax Battery
91,70536 PowerMax Battery 4 day late ordered 01 may,Late Delivery,Medium,PowerMax Battery
92,ordered got SoundWave 300 instead 93122,Wrong Item,Medium,PhotoSnap Cam
93,ordered SmartWatch V2 got ProTab X1 instead 76301,Wrong Item,High,SmartWatch V2
94,facing installation issue PowerMax Battery setup fails step 1,Installation Issue,Low,PowerMax Battery
95,84203 led Vision LED TV 5 day late ordered 30 april,Late Delivery,High,Vision LED TV
96,facing installation issue PowerMax Battery setup fails step 6 delivery expected 04 may,Installation Issue,Medium,PowerMax Battery
97,tell teh ProTab X1 warranty also available white,General Inquiry,High,ProTab X1
98,cant log account keep showing blocked help,Account Access,Medium,SoundWave 300
99,tell SmartWatch V2 warranty also available black,General Inquiry,Medium,SmartWatch V2
100,facing installation issue SoundWave 300 setup fails step 4,Installation Issue,Medium,SoundWave 300
101,cant log account keep showing unknown issue help,Account Access,Medium,UltraClean Vacuum
102,tell ProTab X1 warranty also available blue,General Inquiry,High,ProTab X1
103,payment problem 77517 need urgent help,Billing Problem,High,UltraClean Vacuum
104,payment issue PowerMax Battery charged twice 97621,Billing Problem,High,PowerMax Battery
105,tell teh ProTab X1 warranty also available black also contacted 28 april got response,General Inquiry,Low,ProTab X1
106,payment issue ProTab X1 underbilled 71399 delivery expected 30 march,Billing Problem,High,ProTab X1
107,36632 EcoBreeze AC 15 day late ordered 13 may,Late Delivery,High,EcoBreeze AC
108,payment issue fr mi SmartWatch V2 debited incorrectly fr 98192,Billing Problem,Low,SmartWatch V2
109,tell EcoBreeze AC warranty also available white,General Inquiry,Low,EcoBreeze AC
110,cant log account keep showing reset required help,Account Access,Low,PhotoSnap Cam
111,28158 6 day late ordered 05 may,Late Delivery,Medium,UltraClean Vacuum
112,cant log account keep showing error help,Account Access,Low,SoundWave 300
113,item stock,General Inquiry,High,ProTab X1
114,cant log mi account keep showing unknown issue help,Account Access,Medium,PowerMax Battery
115,ordered RoboChef Blender got ProTab X1 instead 79479,Wrong Item,Low,RoboChef Blender
116,85238 PowerMax Battery 3 day late ordered 15 april,Late Delivery,Medium,PowerMax Battery
117,facing installation issue led Vision LED TV setup fails step 4 also contacted 24 april got response,Installation Issue,Low,Vision LED TV
118,facing installation issue FitRun Treadmill setup fails step 1 delivery expected 19 may,Installation Issue,Medium,FitRun Treadmill
119,led Vision LED TV malfunction stopped working 6 day,Product Defect,High,Vision LED TV
120,facing installation issue UltraClean Vacuum setup fails step 6,Installation Issue,Medium,UltraClean Vacuum
121,55525 RoboChef Blender 1 day late ordered 08 march,Late Delivery,Low,RoboChef Blender
122,payment issue overbilled 65725,Billing Problem,High,Vision LED TV
123,tell ProTab X1 warranty also available white,General Inquiry,High,ProTab X1
124,SmartWatch V2 defective stopped working 1 day,Product Defect,High,SmartWatch V2
125,led Vision LED TV damaged stopped working 4 day,Product Defect,Low,Vision LED TV
126,cant log account keep showing error help,Account Access,High,ProTab X1
127,cant log account keep showing captcha failed help also contacted 06 april got response,Account Access,Low,Vision LED TV
128,68715 RoboChef Blender 17 day late ordered 19 april,Late Delivery,Low,RoboChef Blender
129,product info needed,General Inquiry,Medium,FitRun Treadmill
130,payment issue FitRun Treadmill overbilled 17828,Billing Problem,Low,FitRun Treadmill
131,facing installation issue EcoBreeze AC setup fails step 6,Installation Issue,Low,EcoBreeze AC
132,PhotoSnap Cam glitchy stopped working 12 day also contacted 29 april got response,Product Defect,High,PhotoSnap Cam
133,payment issue SmartWatch V2 underbilled 94863 also contacted 09 april got response,Billing Problem,High,SmartWatch V2
134,ProTab X1 glitchy stopped working 12 day,Product Defect,Medium,ProTab X1
135,97549 ProTab X1 5 day late ordered 30 april,Late Delivery,Medium,ProTab X1
136,facing installation issue PhotoSnap Cam setup fails step 6,Installation Issue,High,PhotoSnap Cam
137,cant log account keep showing captcha failed help,Account Access,High,PowerMax Battery
138,58122 RoboChef Blender 9 day late ordered 10 may also contacted 10 may got response,Late Delivery,High,RoboChef Blender
139,cant log account keep showing reset required help,Account Access,Medium,ProTab X1
140,payment issue UltraClean Vacuum debited incorrectly 76140,Billing Problem,Medium,UltraClean Vacuum
141,nan,Installation Issue,Low,Vision LED TV
142,FitRun Treadmill charged stopped working 12 day,Product Defect,High,FitRun Treadmill
143,cant log account keep showing error help,Account Access,Low,RoboChef Blender
144,ordered EcoBreeze AC got UltraClean Vacuum instead 97605,Wrong Item,High,EcoBreeze AC
145,account problem assistance needed,Account Access,Low,FitRun Treadmill
146,payment issue PowerMax Battery overbilled 18696,Billing Problem,Low,PowerMax Battery
147,SmartWatch V2 response stopped working 5 day delivery expected 25 april,Product Defect,High,SmartWatch V2
148,led Vision LED TV broken stopped working 1 day,Product Defect,High,Vision LED TV
149,facing installation issue setup fails step 2,Installation Issue,High,PowerMax Battery
150,31364 placed 15 may still,Late Delivery,High,EcoBreeze AC
151,PowerMax Battery FitRun Treadmill received giving issue delivery expected 16 april,Product Defect,Low,PowerMax Battery
152,PhotoSnap Cam led Vision LED TV faulty giving issue,Product Defect,High,PhotoSnap Cam
153,working stopped working 12 day,Product Defect,High,ProTab X1
154,tell ProTab X1 warranty also available blue,General Inquiry,Low,ProTab X1
155,payment issue refunded 59838 also contacted 14 may got response,Billing Problem,Low,FitRun Treadmill
156,tell teh EcoBreeze AC warranty also available black,General Inquiry,Low,EcoBreeze AC
157,58051 RoboChef Blender 16 day late ordered 07 march,Late Delivery,High,RoboChef Blender
158,payment issue EcoBreeze AC charged twice 26025,Billing Problem,Low,EcoBreeze AC
159,40339 PhotoSnap Cam 13 day late ordered 25 april,Late Delivery,Low,PhotoSnap Cam
160,payment issue fr mi RoboChef Blender charged twice fr 81706,Billing Problem,Medium,RoboChef Blender
161,90105 UltraClean Vacuum 1 day late ordered 03 march,Late Delivery,Low,UltraClean Vacuum
162,cant log account keep showing captcha failed help,Account Access,Low,SoundWave 300
163,cant log account keep showing captcha failed help,Account Access,Low,Vision LED TV
164,tell ProTab X1 warranty also available white,General Inquiry,Low,ProTab X1
165,tell PowerMax Battery warranty also available red,General Inquiry,High,PowerMax Battery
166,account problem assistance needed also contacted 12 march got response,Account Access,Medium,PowerMax Battery
167,cant log account keep showing error help also contacted 23 march got response,Account Access,Low,PowerMax Battery
168,58396 PowerMax Battery 16 day late ordered 03 april also contacted 03 april got response,Late Delivery,High,PowerMax Battery
169,payment issue SoundWave 300 refunded 45749,Billing Problem,High,SoundWave 300
170,payment issue led Vision LED TV debited incorrectly 63168,Billing Problem,High,Vision LED TV
171,account problem assistance needed,Account Access,High,FitRun Treadmill
172,tell EcoBreeze AC warranty also available blue,General Inquiry,Low,EcoBreeze AC
173,84031 SmartWatch V2 6 day late ordered 04 march,Late Delivery,Low,SmartWatch V2
174,received wrong product mixed,Wrong Item,Medium,EcoBreeze AC
175,cant log mi account keep showing unknown issue help,Account Access,Medium,EcoBreeze AC
176,item stock delivery expected 05 may,General Inquiry,Medium,SoundWave 300
177,cant log account keep showing reset required help,Account Access,High,SoundWave 300
178,cant access account also contacted 12 may got response,Account Access,High,SmartWatch V2
179,34198 SmartWatch V2 15 day late ordered 05 march,Late Delivery,Medium,SmartWatch V2
180,facing installation issue SoundWave 300 setup fails step 4,Installation Issue,Low,SoundWave 300
181,facing installation issue RoboChef Blender setup fails step 6,Installation Issue,Low,RoboChef Blender
182,tell SmartWatch V2 warranty also available red also contacted 16 march got response,General Inquiry,High,SmartWatch V2
183,cant log account keep showing reset required help,Account Access,High,Vision LED TV
184,payment issue FitRun Treadmill overbilled 81052,Billing Problem,High,FitRun Treadmill
185,ordered SmartWatch V2 got PowerMax Battery instead 37056 also contacted 06 may got response,Wrong Item,Low,SmartWatch V2
186,PowerMax Battery working stopped working 5 day,Product Defect,Low,PowerMax Battery
187,35506 EcoBreeze AC 8 day late ordered 27 march,Late Delivery,High,EcoBreeze AC
188,RoboChef Blender malfunction stopped working 3 day,Product Defect,High,RoboChef Blender
189,PhotoSnap Cam SoundWave 300 cracked giving issue delivery expected 17 march,Product Defect,Medium,PhotoSnap Cam
190,facing installation issue RoboChef Blender setup fails step 2,Installation Issue,Medium,RoboChef Blender
191,tell UltraClean Vacuum warranty also available red,General Inquiry,High,UltraClean Vacuum
192,facing installation issue led Vision LED TV setup fails step 5,Installation Issue,Medium,Vision LED TV
193,ordered EcoBreeze AC got PowerMax Battery instead 70963,Wrong Item,Medium,EcoBreeze AC
194,86969 FitRun Treadmill 16 day late ordered 04 may,Wrong Item,Low,FitRun Treadmill
195,payment issue fr mi PhotoSnap Cam refunded fr 55921 also contacted 09 march got response,Billing Problem,Low,PhotoSnap Cam
196,led Vision LED TV late stopped working 7 day,Product Defect,High,Vision LED TV
197,able install product also contacted 09 march got response,Installation Issue,Medium,PowerMax Battery
198,ordered SmartWatch V2 got v2 instead 52790,Wrong Item,Medium,SmartWatch V2
199,cant log account keep showing unknown issue help,Account Access,High,PhotoSnap Cam
200,ordered UltraClean Vacuum got vacuum instead 31416 also contacted 02 april got response,Wrong Item,High,UltraClean Vacuum
201,tell SmartWatch V2 warranty also available red,General Inquiry,Medium,SmartWatch V2
202,facing installation issue setup fails step 3,Installation Issue,Medium,SmartWatch V2
203,cant log account keep showing reset required help,Account Access,Medium,PhotoSnap Cam
204,tell FitRun Treadmill warranty also available blue,General Inquiry,Medium,FitRun Treadmill
205,tell led Vision LED TV warranty also available blue also contacted 29 march got response,General Inquiry,High,Vision LED TV
206,facing installation issue RoboChef Blender setup fails step 5,Installation Issue,Low,RoboChef Blender
207,cant log account keep showing reset required help also contacted 04 may got response delivery expected 04 may,Account Access,Medium,RoboChef Blender
208,UltraClean Vacuum defective stopped working 1 day,Product Defect,Low,UltraClean Vacuum
209,46182 EcoBreeze AC 9 day late ordered 19 may,Late Delivery,Low,EcoBreeze AC
210,facing installation issue SmartWatch V2 setup fails step 1,Installation Issue,Low,SmartWatch V2
211,ordered got SoundWave 300 instead 23976,Wrong Item,High,EcoBreeze AC
212,nan,Product Defect,Medium,SmartWatch V2
213,payment issue led Vision LED TV debited incorrectly 39849,Billing Problem,Low,Vision LED TV
214,payment problem fr 94367 need urgent help,Billing Problem,Low,SoundWave 300
215,26115 4 day late ordered 24 april,Late Delivery,Low,ProTab X1
216,ordered got PowerMax Battery instead 90318,Wrong Item,High,SmartWatch V2
217,payment issue SmartWatch V2 underbilled 44795,Billing Problem,Medium,SmartWatch V2
218,facing installation issue UltraClean Vacuum setup fails step 3,Installation Issue,Low,UltraClean Vacuum
219,facing installation issue setup fails step 2 also contacted 19 march got response,Installation Issue,Low,PowerMax Battery
220,able install product,Installation Issue,High,SmartWatch V2
221,facing installation issue RoboChef Blender setup fails step 1,Installation Issue,Medium,RoboChef Blender
222,payment issue PowerMax Battery refunded 68783 also contacted 13 march got response,Billing Problem,Low,PowerMax Battery
223,tell PhotoSnap Cam warranty also available red,General Inquiry,Low,PhotoSnap Cam
224,nan,Installation Issue,Medium,PowerMax Battery
225,tell warranty also available red,General Inquiry,Medium,ProTab X1
226,facing installation issue SoundWave 300 setup fails step 1,Installation Issue,Medium,SoundWave 300
227,able install product delivery expected 26 march,Installation Issue,Low,PhotoSnap Cam
228,SoundWave 300 late stopped working 12 day,Product Defect,Medium,SoundWave 300
229,payment issue PowerMax Battery overbilled 61694,Billing Problem,Medium,PowerMax Battery
230,98576 PowerMax Battery 3 day late ordered 06 may,Late Delivery,Medium,PowerMax Battery
231,payment issue charged twice 70857,Billing Problem,High,PhotoSnap Cam
232,UltraClean Vacuum ProTab X1 lost giving issue also contacted 24 march got response,Product Defect,High,UltraClean Vacuum
233,payment issue overbilled 41191,Billing Problem,Medium,UltraClean Vacuum
234,EcoBreeze AC received stopped working 4 day,Product Defect,Medium,EcoBreeze AC
235,cant log account keep showing error help,Account Access,Low,FitRun Treadmill
236,61028 PhotoSnap Cam 6 day late ordered 08 march,Late Delivery,Medium,PhotoSnap Cam
237,PowerMax Battery glitchy stopped working 10 day also contacted 14 may got response,Product Defect,High,PowerMax Battery
238,tell ProTab X1 warranty also available blue,General Inquiry,Low,ProTab X1
239,defective stopped working 2 day also contacted 11 march got response,Product Defect,Medium,ProTab X1
240,cant log account keep showing captcha failed help also contacted 15 march got response delivery expected 15 march,Account Access,Low,Vision LED TV
241,ordered RoboChef Blender got UltraClean Vacuum instead 75624,Wrong Item,Low,RoboChef Blender
242,cant log account keep showing error help also contacted 13 april got response delivery expected 13 april,Account Access,Low,RoboChef Blender
243,facing installation issue EcoBreeze AC setup fails step 6,Installation Issue,High,EcoBreeze AC
